COUNTY,ST,COUNTY_STATE,SSACD,COUNTY DESIGNA-TION,Primary Care Distance
Woodruff,AR,"Woodruff, AR",04730,Rural,30
Yell,AR,"Yell, AR",04740,Rural,30
Alameda,CA,"Alameda, CA",05000,Large Metro,5
Alpine,CA,"Alpine, CA",05010,CEAC,60
Amador,CA,"Amador, CA",05020,Micro,20
Butte,CA,"Butte, CA",05030,Metro,10
Calaveras,CA,"Calaveras, CA",05040,Rural,30
Colusa,CA,"Colusa, CA",05050,Rural,30
Contra Costa,CA,"Contra Costa, CA",05060,Large Metro,5
Del Norte,CA,"Del Norte, CA",05070,Rural,30
El Dorado,CA,"El Dorado, CA",05080,Metro,10
Fresno,CA,"Fresno, CA",05090,Metro,10
Glenn,CA,"Glenn, CA",05100,Rural,30
Humboldt,CA,"Humboldt, CA",05110,Micro,20
Imperial,CA,"Imperial, CA",05120,Micro,20
Inyo,CA,"Inyo, CA",05130,CEAC,60
Kern,CA,"Kern, CA",05140,Metro,15
Kings,CA,"Kings, CA",05150,Metro,10
Lake,CA,"Lake, CA",05160,Micro,20
Lassen,CA,"Lassen, CA",05170,CEAC,60
Los Angeles,CA,"Los Angeles, CA",05200,Large Metro,5
Los Angeles,CA,"Los Angeles, CA",05201,Large Metro,5
Los Angeles,CA,"Los Angeles, CA",05210,Large Metro,5
Madera,CA,"Madera, CA",05300,Micro,20
Marin,CA,"Marin, CA",05310,Metro,10
Mariposa,CA,"Mariposa, CA",05320,Rural,30
Mendocino,CA,"Mendocino, CA",05330,Micro,20
Merced,CA,"Merced, CA",05340,Metro,10
Modoc,CA,"Modoc, CA",05350,CEAC,60
Mono,CA,"Mono, CA",05360,CEAC,60
Monterey,CA,"Monterey, CA",05370,Metro,10
Napa,CA,"Napa, CA",05380,Metro,10
Nevada,CA,"Nevada, CA",05390,Metro,10
Orange,CA,"Orange, CA",05400,Large Metro,5
Orange,CA,"Orange, CA",05401,Large Metro,5
Placer,CA,"Placer, CA",05410,Metro,10
Plumas,CA,"Plumas, CA",05420,CEAC,60
Riverside,CA,"Riverside, CA",05430,Metro,10
Sacramento,CA,"Sacramento, CA",05440,Large Metro,5
San Benito,CA,"San Benito, CA",05450,Micro,20
San Bernardino,CA,"San Bernardino, CA",05460,Metro,10
San Diego,CA,"San Diego, CA",05470,Metro,10
San Francisco,CA,"San Francisco, CA",05480,Large Metro,5
San Joaquin,CA,"San Joaquin, CA",05490,Metro,10
San Luis Obispo,CA,"San Luis Obispo, CA",05500,Metro,10
San Mateo,CA,"San Mateo, CA",05510,Large Metro,5
Santa Barbara,CA,"Santa Barbara, CA",05520,Metro,10
Santa Clara,CA,"Santa Clara, CA",05530,Large Metro,5
Santa Cruz,CA,"Santa Cruz, CA",05540,Metro,10
Shasta,CA,"Shasta, CA",05550,Micro,20
Sierra,CA,"Sierra, CA",05560,CEAC,60
Siskiyou,CA,"Siskiyou, CA",05570,CEAC,60
Solano,CA,"Solano, CA",05580,Metro,10
Sonoma,CA,"Sonoma, CA",05590,Metro,10
Stanislaus,CA,"Stanislaus, CA",05600,Metro,10
Sutter,CA,"Sutter, CA",05610,Metro,10
Tehama,CA,"Tehama, CA",05620,Micro,20
Trinity,CA,"Trinity, CA",05630,CEAC,60
Tulare,CA,"Tulare, CA",05640,Metro,10
Tuolumne,CA,"Tuolumne, CA",05650,Micro,20
Ventura,CA,"Ventura, CA",05660,Metro,10
Yolo,CA,"Yolo, CA",05670,Metro,10
Yuba,CA,"Yuba, CA",05680,Metro,10
Adams,CO,"Adams, CO",06000,Metro,10
Alamosa,CO,"Alamosa, CO",06010,Rural,30
Arapahoe,CO,"Arapahoe, CO",06020,Metro,10
Archuleta,CO,"Archuleta, CO",06030,CEAC,60
Baca,CO,"Baca, CO",06040,CEAC,60
Bent,CO,"Bent, CO",06050,CEAC,60
Boulder,CO,"Boulder, CO",06060,Metro,10
Chaffee,CO,"Chaffee, CO",06070,Rural,30
Cheyenne,CO,"Cheyenne, CO",06080,CEAC,60
Clear Creek,CO,"Clear Creek, CO",06090,Rural,30
Conejos,CO,"Conejos, CO",06100,CEAC,60
Costilla,CO,"Costilla, CO",06110,CEAC,60
Crowley,CO,"Crowley, CO",06120,CEAC,60
Custer,CO,"Custer, CO",06130,CEAC,60
Delta,CO,"Delta, CO",06140,Rural,30
Denver,CO,"Denver, CO",06150,Large Metro,5
Dolores,CO,"Dolores, CO",06160,CEAC,60
Douglas,CO,"Douglas, CO",06170,Metro,10
Eagle,CO,"Eagle, CO",06180,Micro,20
Elbert,CO,"Elbert, CO",06190,Rural,30
El Paso,CO,"El Paso, CO",06200,Metro,10
Fremont,CO,"Fremont, CO",06210,Rural,30
Garfield,CO,"Garfield, CO",06220,Micro,20
Gilpin,CO,"Gilpin, CO",06230,Rural,30
Grand,CO,"Grand, CO",06240,CEAC,60
Gunnison,CO,"Gunnison, CO",06250,CEAC,60
Hinsdale,CO,"Hinsdale, CO",06260,CEAC,60
Huerfano,CO,"Huerfano, CO",06270,CEAC,60
Jackson,CO,"Jackson, CO",06280,CEAC,60
Jefferson,CO,"Jefferson, CO",06290,Metro,10
Kiowa,CO,"Kiowa, CO",06300,CEAC,60
Kit Carson,CO,"Kit Carson, CO",06310,CEAC,60
Lake,CO,"Lake, CO",06320,Rural,30
La Plata,CO,"La Plata, CO",06330,Micro,20
Larimer,CO,"Larimer, CO",06340,Metro,10
Las Animas,CO,"Las Animas, CO",06350,CEAC,60
Lincoln,CO,"Lincoln, CO",06360,CEAC,60
Logan,CO,"Logan, CO",06370,Rural,30
Mesa,CO,"Mesa, CO",06380,Micro,20
Mineral,CO,"Mineral, CO",06390,CEAC,60
Moffat,CO,"Moffat, CO",06400,CEAC,60
Montezuma,CO,"Montezuma, CO",06410,Rural,30
Montrose,CO,"Montrose, CO",06420,Rural,30
Morgan,CO,"Morgan, CO",06430,Rural,30
Otero,CO,"Otero, CO",06440,Rural,30
Ouray,CO,"Ouray, CO",06450,CEAC,60
Park,CO,"Park, CO",06460,CEAC,60
Phillips,CO,"Phillips, CO",06470,CEAC,60
Pitkin,CO,"Pitkin, CO",06480,Rural,30
Prowers,CO,"Prowers, CO",06490,CEAC,60
Pueblo,CO,"Pueblo, CO",06500,Micro,20
Rio Blanco,CO,"Rio Blanco, CO",06510,CEAC,60
Rio Grande,CO,"Rio Grande, CO",06520,Rural,30
Routt,CO,"Routt, CO",06530,Rural,30
Saguache,CO,"Saguache, CO",06540,CEAC,60
San Juan,CO,"San Juan, CO",06550,CEAC,60
San Miguel,CO,"San Miguel, CO",06560,CEAC,60
Sedgwick,CO,"Sedgwick, CO",06570,CEAC,60
Summit,CO,"Summit, CO",06580,Rural,30
Teller,CO,"Teller, CO",06590,Rural,30
Washington,CO,"Washington, CO",06600,CEAC,60
Weld,CO,"Weld, CO",06610,Metro,10
