"GEOID","NAME","total_pop","total_black"
"17550","ZCTA5 17550",953,10
"17606","ZCTA5 17606",413,0
"17723","ZCTA5 17723",50,0
"17727","ZCTA5 17727",74,0
"17779","ZCTA5 17779",386,0
"17822","ZCTA5 17822",0,0
"17876","ZCTA5 17876",1919,4
"17880","ZCTA5 17880",128,0
"17268","ZCTA5 17268",29374,926
"17271","ZCTA5 17271",259,0
"17094","ZCTA5 17094",2427,20
"17102","ZCTA5 17102",7434,2477
"17223","ZCTA5 17223",233,4
"17224","ZCTA5 17224",1743,0
"17236","ZCTA5 17236",7939,130
"17240","ZCTA5 17240",4001,1
"20427","ZCTA5 20427",0,0
"19333","ZCTA5 19333",6911,249
"19341","ZCTA5 19341",17572,893
"19344","ZCTA5 19344",11988,325
"19350","ZCTA5 19350",11424,162
"19403","ZCTA5 19403",46592,4181
"19435","ZCTA5 19435",175,0
"19457","ZCTA5 19457",87,0
"19137","ZCTA5 19137",8347,321
"19046","ZCTA5 19046",17660,994
"19047","ZCTA5 19047",34479,1315
"19063","ZCTA5 19063",35764,1599
"19075","ZCTA5 19075",7632,502
"19076","ZCTA5 19076",6555,390
"19015","ZCTA5 19015",16809,4750
"19030","ZCTA5 19030",11792,318
"19038","ZCTA5 19038",31415,4259
"19730","ZCTA5 19730",1100,56
"19732","ZCTA5 19732",88,0
"19806","ZCTA5 19806",9887,1141
"19954","ZCTA5 19954",1523,264
"19960","ZCTA5 19960",6505,1079
"19966","ZCTA5 19966",29324,3342
"19136","ZCTA5 19136",34741,5732
"19081","ZCTA5 19081",9923,427
"19086","ZCTA5 19086",11746,345
"19106","ZCTA5 19106",12592,1032
"19141","ZCTA5 19141",34701,28686
"19145","ZCTA5 19145",46052,14427
"19367","ZCTA5 19367",76,0
"19374","ZCTA5 19374",1086,20
"19437","ZCTA5 19437",1122,0
"19444","ZCTA5 19444",10890,352
"19446","ZCTA5 19446",56720,3199
"19453","ZCTA5 19453",1732,0
"19465","ZCTA5 19465",17473,420
"19519","ZCTA5 19519",134,0
"19610","ZCTA5 19610",15417,387
"19702","ZCTA5 19702",55537,15885
"19703","ZCTA5 19703",15362,4497
"19609","ZCTA5 19609",10476,821
"19454","ZCTA5 19454",28977,1453
"19462","ZCTA5 19462",15811,1406
"19464","ZCTA5 19464",46904,7531
"19711","ZCTA5 19711",52547,5463
"19720","ZCTA5 19720",59664,25226
"19002","ZCTA5 19002",32241,1576
"19510","ZCTA5 19510",8710,362
"19506","ZCTA5 19506",7466,80
"19507","ZCTA5 19507",3211,0
"19522","ZCTA5 19522",14034,59
"19526","ZCTA5 19526",11256,162
"19551","ZCTA5 19551",4844,75
"19554","ZCTA5 19554",396,0
"19604","ZCTA5 19604",28346,2642
"19147","ZCTA5 19147",38472,3491
"19701","ZCTA5 19701",40173,11177
"19710","ZCTA5 19710",0,0
"19713","ZCTA5 19713",30260,5684
"24292","ZCTA5 24292",392,32
"20015","ZCTA5 20015",16202,1288
"20110","ZCTA5 20110",47574,6746
"20121","ZCTA5 20121",29426,2761
"20124","ZCTA5 20124",15114,638
"20181","ZCTA5 20181",9350,394
"20184","ZCTA5 20184",496,67
"20602","ZCTA5 20602",26550,15849
"20603","ZCTA5 20603",31975,18948
"20606","ZCTA5 20606",374,55
"20607","ZCTA5 20607",10843,6956
"20608","ZCTA5 20608",860,424
"20621","ZCTA5 20621",960,229
"20623","ZCTA5 20623",2997,2447
"20624","ZCTA5 20624",1409,120
"20653","ZCTA5 20653",24274,7199
"20659","ZCTA5 20659",23312,1856
"20684","ZCTA5 20684",1066,77
"20687","ZCTA5 20687",448,0
"20689","ZCTA5 20689",2081,384
"20144","ZCTA5 20144",1086,98
"20832","ZCTA5 20832",26437,3566
"20135","ZCTA5 20135",3187,173
"20164","ZCTA5 20164",41684,3490
"20180","ZCTA5 20180",7705,236
"20609","ZCTA5 20609",1151,195
"20617","ZCTA5 20617",832,91
"20618","ZCTA5 20618",406,37
"20636","ZCTA5 20636",10805,206
"20637","ZCTA5 20637",5751,1453
"20645","ZCTA5 20645",749,24
"20674","ZCTA5 20674",848,94
"20754","ZCTA5 20754",7124,462
"20758","ZCTA5 20758",451,45
"20625","ZCTA5 20625",646,52
"20755","ZCTA5 20755",10873,2038
"20860","ZCTA5 20860",2855,908
"20676","ZCTA5 20676",3848,441
"20777","ZCTA5 20777",3687,222
"20833","ZCTA5 20833",7369,712
"20912","ZCTA5 20912",26140,9373
"20045","ZCTA5 20045",0,0
"20052","ZCTA5 20052",126,26
"20053","ZCTA5 20053",0,0
"20057","ZCTA5 20057",3900,245
"20064","ZCTA5 20064",2175,219
"20202","ZCTA5 20202",0,0
"20204","ZCTA5 20204",0,0
"20228","ZCTA5 20228",0,0
"20230","ZCTA5 20230",0,0
"20240","ZCTA5 20240",0,0
"20245","ZCTA5 20245",0,0
"20260","ZCTA5 20260",0,0
"20307","ZCTA5 20307",66,3
"20317","ZCTA5 20317",416,81
"20373","ZCTA5 20373",141,12
"20390","ZCTA5 20390",326,30
"20405","ZCTA5 20405",0,0
"20418","ZCTA5 20418",0,0
"24501","ZCTA5 24501",28036,10402
"20506","ZCTA5 20506",0,0
"20510","ZCTA5 20510",0,0
"20520","ZCTA5 20520",0,0
"20535","ZCTA5 20535",0,0
"20540","ZCTA5 20540",0,0
"20551","ZCTA5 20551",0,0
"20553","ZCTA5 20553",0,0
"20560","ZCTA5 20560",0,0
"20565","ZCTA5 20565",0,0
"20566","ZCTA5 20566",0,0
"20593","ZCTA5 20593",0,0
"20660","ZCTA5 20660",0,0
"20686","ZCTA5 20686",1775,133
"20742","ZCTA5 20742",6726,769
"20899","ZCTA5 20899",295,210
"20612","ZCTA5 20612",203,0
"20707","ZCTA5 20707",32798,15311
"20902","ZCTA5 20902",52908,9356
"20711","ZCTA5 20711",7413,1250
"20770","ZCTA5 20770",24560,11769
"20872","ZCTA5 20872",12603,1371
"20670","ZCTA5 20670",1441,294
"20720","ZCTA5 20720",22971,16221
"20905","ZCTA5 20905",18662,4694
"21009","ZCTA5 21009",29905,3877
"21017","ZCTA5 21017",6983,2135
"21028","ZCTA5 21028",2783,6
"21032","ZCTA5 21032",8084,736
"21036","ZCTA5 21036",2112,83
"21044","ZCTA5 21044",44256,12111
"21048","ZCTA5 21048",10276,548
"21130","ZCTA5 21130",156,20
"21146","ZCTA5 21146",27555,876
"21154","ZCTA5 21154",5804,106
"21160","ZCTA5 21160",2933,0
"21209","ZCTA5 21209",28309,4903
"21212","ZCTA5 21212",33431,13083
"21216","ZCTA5 21216",30179,28699
"21520","ZCTA5 21520",2200,1
"21545","ZCTA5 21545",1740,13
"21555","ZCTA5 21555",1586,4
"21001","ZCTA5 21001",24752,6157
"21013","ZCTA5 21013",4768,169
"21029","ZCTA5 21029",10895,738
"21045","ZCTA5 21045",40365,11936
"21057","ZCTA5 21057",4232,158
"21060","ZCTA5 21060",34899,6081
"21531","ZCTA5 21531",1868,4
"21012","ZCTA5 21012",21600,666
