ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
1929,1.29E-06,6.36E-06
1930,1.29E-06,6.36E-06
1937,1.29E-06,6.36E-06
1938,1.29E-06,6.36E-06
1940,7.64E-07,1.78E-06
1944,1.29E-06,6.36E-06
1945,1.29E-06,6.36E-06
1949,1.29E-06,6.36E-06
1950,1.29E-06,6.36E-06
1951,1.29E-06,6.36E-06
1952,1.29E-06,6.36E-06
1960,1.29E-06,6.36E-06
1966,1.29E-06,6.36E-06
1969,1.29E-06,6.36E-06
1970,1.29E-06,6.36E-06
1982,1.29E-06,6.36E-06
1983,1.29E-06,6.36E-06
1984,1.29E-06,6.36E-06
1985,1.29E-06,6.36E-06
2019,1.15E-06,4.35E-06
2021,1.15E-06,4.35E-06
2025,4.02E-06,4.35E-06
2026,1.15E-06,4.35E-06
2030,1.15E-06,4.35E-06
2032,1.15E-06,4.35E-06
2035,1.15E-06,4.35E-06
2038,1.15E-06,4.35E-06
2043,7.86E-07,0
2045,7.86E-07,0
2047,7.86E-07,0
2048,1.08E-06,9.15E-06
2050,7.86E-07,0
2052,1.15E-06,4.35E-06
2053,1.15E-06,4.35E-06
2054,1.15E-06,4.35E-06
2056,1.15E-06,4.35E-06
2061,7.86E-07,0
2062,1.15E-06,4.35E-06
2066,7.86E-07,0
2067,1.15E-06,4.35E-06
2071,1.15E-06,4.35E-06
2072,1.15E-06,4.35E-06
2081,1.15E-06,4.35E-06
2090,1.15E-06,4.35E-06
2093,1.15E-06,4.35E-06
2108,2.82E-06,8.00E-06
2109,2.82E-06,8.00E-06
2110,2.82E-06,8.00E-06
2111,2.82E-06,8.00E-06
2113,2.82E-06,8.00E-06
2114,2.82E-06,8.00E-06
2115,2.82E-06,8.00E-06
2116,2.82E-06,8.00E-06
2118,5.20E-06,1.99E-05
2119,5.22E-06,8.00E-06
2120,2.82E-06,8.00E-06
2121,7.00E-06,1.46E-05
2122,2.82E-06,8.00E-06
2124,3.40E-06,6.27E-06
2125,2.82E-06,8.00E-06
2126,2.82E-06,8.00E-06
2127,2.82E-06,8.00E-06
2128,3.81E-06,2.73E-05
2129,2.82E-06,8.00E-06
2130,4.20E-06,1.97E-05
2131,4.70E-06,1.56E-05
2132,2.82E-06,8.00E-06
2134,2.82E-06,8.00E-06
2135,2.82E-06,8.00E-06
2136,2.82E-06,8.00E-06
2138,5.06E-07,0
2139,5.06E-07,0
2140,5.06E-07,0
2141,5.06E-07,0
2142,5.06E-07,0
2143,5.06E-07,0
2144,5.06E-07,0
2145,5.06E-07,0
2148,5.06E-07,0
2149,2.74E-06,5.46E-06
2150,4.26E-06,8.00E-06
2151,3.46E-06,8.00E-06
2152,2.82E-06,8.00E-06
2155,5.06E-07,0
2163,2.82E-06,8.00E-06
2169,1.15E-06,4.35E-06
2170,1.15E-06,4.35E-06
2171,1.15E-06,4.35E-06
2176,5.06E-07,0
2180,5.06E-07,0
2184,3.49E-06,1.59E-05
2186,1.15E-06,4.35E-06
2188,1.15E-06,4.35E-06
2189,1.15E-06,4.35E-06
2190,1.15E-06,4.35E-06
2191,4.03E-06,4.35E-06
2199,2.82E-06,8.00E-06
2203,2.82E-06,8.00E-06
2210,2.82E-06,8.00E-06
2215,4.61E-06,7.24E-06
2301,7.86E-07,0
2302,2.63E-06,0
2322,1.15E-06,4.35E-06
2324,7.86E-07,0
2330,7.86E-07,0
2332,7.86E-07,0
2333,7.86E-07,0
2338,7.86E-07,0
2339,7.86E-07,0
2341,7.86E-07,0
2343,1.15E-06,4.35E-06
2346,7.86E-07,0
2347,7.86E-07,0
2351,7.86E-07,0
2356,1.08E-06,9.15E-06
2357,1.08E-06,9.15E-06
2359,7.86E-07,0
2360,7.86E-07,0
2364,7.86E-07,0
2366,7.86E-07,0
2367,7.86E-07,0
2368,1.15E-06,4.35E-06
2370,7.86E-07,0
2375,1.08E-06,9.15E-06
2379,7.86E-07,0
2382,7.86E-07,0
2420,5.06E-07,0
2421,5.06E-07,0
2445,1.15E-06,4.35E-06
2446,1.15E-06,4.35E-06
2451,5.06E-07,0
2452,5.06E-07,0
2453,5.06E-07,0
2457,1.15E-06,4.35E-06
2458,5.06E-07,0
2459,5.06E-07,0
2460,5.06E-07,0
2461,5.06E-07,0
2462,5.06E-07,0
2464,5.06E-07,0
2465,5.06E-07,0
2466,5.06E-07,0
2467,1.24E-06,5.29E-06
