zcta,adult_population,presidential_votes,voter_percent_of_population
35091,2159,1958,0.906901343
35094,11255,7692,0.683429587
35096,6689,3619,0.541037524
35097,1391,979,0.703810208
35098,836,783,0.936602871
35111,12688,10408,0.820302648
35112,234,436,1
35114,6265,4068,0.649321628
35115,12213,5769,0.472365512
35116,3351,2785,0.831095195
35117,4267,3388,0.794000469
35118,2674,1650,0.617053104
35119,209,56,0.267942584
35120,10710,7955,0.742763772
35121,12348,6479,0.524700356
35124,18971,13171,0.694270202
35125,8147,4234,0.519700503
35126,16451,11457,0.696431828
35127,7790,4529,0.581386393
35128,8306,4966,0.59788105
35130,2291,1674,0.73068529
35131,3455,1852,0.536034732
35133,2438,2184,0.895816243
35135,1828,916,0.501094092
35136,1774,968,0.545659526
35139,161,86,0.534161491
35143,2385,1711,0.717400419
35146,8806,6247,0.70940268
35147,4493,3941,0.877142221
35148,1727,1403,0.81239143
35149,251,276,1
35150,12919,7620,0.589828934
35151,6161,3733,0.605908132
35160,20953,10565,0.504223739
35171,2516,1595,0.633942766
35172,2489,1358,0.545600643
35173,19835,15709,0.791983867
35175,4092,2584,0.631476051
35176,641,517,0.806552262
35178,2303,1908,0.828484585
35179,6626,4639,0.700120736
35180,11269,7656,0.679385926
35183,777,355,0.456885457
35184,3642,2676,0.73476112
35186,4068,3196,0.785644051
35187,6,12,1
35188,2354,1323,0.56202209
35203,2967,1020,0.343781598
35204,7452,4003,0.537171229
35205,18686,8356,0.447179707
35206,13392,7036,0.525388292
35207,6474,3968,0.612913191
35208,10445,5873,0.562278602
35209,21499,13302,0.618726452
35210,11398,7915,0.694420074
35211,19818,12112,0.61116157
35212,8398,4750,0.56561086
35213,10464,8567,0.818711774
35214,14313,9393,0.65625655
35215,33831,18659,0.551535574
35216,27036,17619,0.65168664
35217,10364,5086,0.490737167
35218,5335,3169,0.594001874
35221,3481,2662,0.764722781
35222,7206,4265,0.591867888
35223,8447,7268,0.860423819
35224,3900,2449,0.627948718
35226,26020,20396,0.78385857
35228,7837,4599,0.586831696
35229,1252,397,0.317092652
35233,1691,525,0.310467179
35234,4455,2271,0.50976431
35235,16256,8408,0.517224409
35242,43886,31409,0.71569521
35243,13788,11384,0.825645489
35244,24402,17713,0.725883124
35254,1546,392,0.253557568
35401,32211,10954,0.340070162
35404,18141,7771,0.428366683
35405,35505,17817,0.501816646
35406,13438,8296,0.617353773
35441,737,649,0.880597015
35442,5415,2338,0.43176362
35443,1245,992,0.796787149
35444,3162,1947,0.615749526
35446,1688,1108,0.656398104
35447,2435,1657,0.680492813
35452,2749,2370,0.862131684
35453,8124,5417,0.666789759
35456,2991,1837,0.614175861
35457,0,40,1
35458,429,269,0.627039627
35459,962,467,0.485446985
35460,848,495,0.583726415
35461,1711,1109,0.648158971
35462,3497,2700,0.772090363
35463,1573,1173,0.745708837
35464,528,337,0.638257576
35466,4144,3068,0.74034749
35469,278,131,0.471223022
35470,3802,2220,0.583903209
35473,12443,8210,0.659808728
35474,5121,3411,0.666080844
35475,12248,9314,0.760450686
35476,5281,3311,0.62696459
35477,137,184,1
35480,831,812,0.977135981
35481,2625,1642,0.62552381
35490,2835,2099,0.740388007
35501,7523,4147,0.551242855
35503,7179,4387,0.611087895
35504,10129,7093,0.700266561
35540,2240,1232,0.55
35541,2856,1897,0.664215686
35542,792,594,0.75
35543,782,461,0.589514066
35544,434,340,0.783410138
35545,85,54,0.635294118
35546,3000,2066,0.688666667
35548,1319,729,0.552691433
35549,2875,1807,0.628521739
35550,4416,2348,0.531702899
35552,699,520,0.743919886
35553,3387,2108,0.622379687
35554,821,626,0.762484775
35555,7654,5026,0.656650118
35559,12,27,1
35563,3711,2009,0.541363514
35564,1712,1073,0.626752336
35565,9769,5608,0.574060805
35570,9012,4901,0.543830448
35571,631,408,0.64659271
35572,1020,598,0.58627451
35574,1306,877,0.67151608
35575,829,450,0.542822678
35576,2482,1721,0.693392425
35577,27,16,0.592592593
35578,4802,2465,0.51332778
35579,2774,1582,0.570295602
35580,2604,1811,0.69546851
35581,4424,2491,0.563065099
35582,3206,1824,0.56893325
35584,260,186,0.715384615
35585,1280,642,0.5015625
35586,2987,2194,0.734516237
35587,531,472,0.888888889
35592,3670,2120,0.577656676
35593,1180,955,0.809322034
35594,5490,3821,0.695992714
35601,24325,12253,0.503720452
35603,25105,15150,0.603465445
35610,1592,1134,0.712311558
35611,21120,12281,0.581486742
35613,21081,12377,0.587116361
35614,5365,3598,0.670643057
35615,60,71,1
35616,3072,1871,0.609049479
35618,1482,883,0.595816464
35619,3907,2494,0.638341438
35620,7579,4621,0.609711044
35621,2127,1539,0.723554302
35622,5445,3411,0.626446281
35630,27499,13261,0.482235718
35633,16017,10523,0.656989449
35634,8113,5262,0.648588685
35640,19638,11956,0.608819635
35643,3169,1397,0.44083307
35645,10778,7511,0.696882539
35646,3829,2233,0.583180987
35647,867,610,0.703575548
35648,2693,1858,0.689936873
35649,68,51,0.75
35650,10595,6569,0.620009438
35651,1010,649,0.642574257
35652,6879,4256,0.618694578
35653,8168,4249,0.520200784
35654,5847,3016,0.515820079
35660,7144,4116,0.576147816
35661,13286,9675,0.728210146
35670,5197,3744,0.720415624
35671,1691,1024,0.605558841
35672,4151,3112,0.749698868
35673,5766,3625,0.628685397
35674,14891,9237,0.620307568
35677,1186,867,0.731028668
35739,3784,2646,0.699260042
35740,2406,1400,0.581878637
35741,2441,2461,1
35744,1532,1123,0.733028721
35745,143,137,0.958041958
35746,400,451,1
