"STCNTY","Num_Alt_Services","Num_Mainstream_Services","Financial_Accessibility_County"
"72083",0,0,-1791
"72054",0,0,-1791
"72081",0,0,-1791
"72125",0,0,-1791
"72039",0,0,-1791
"72107",0,0,-1791
"72067",0,0,-1791
"72073",0,1,1
"72131",0,1,1
"72101",0,0,-1791
"72007",0,1,1
"72041",0,0,-1791
"72045",0,0,-1791
"72009",0,0,-1791
"72043",0,0,-1791
"72047",0,0,-1791
"72105",3,0,-3
"72135",0,0,-1791
"72025",13,6,-7
"72061",4,3,-1
"72129",0,1,1
"72139",0,0,-1791
"72029",0,0,-1791
"72035",0,0,-1791
"72149",0,1,1
"72085",0,1,1
"72063",0,1,1
"72077",0,0,-1791
"72019",0,0,-1791
"72021",19,5,-14
"72033",0,0,-1791
"25013",76,32,-44
"25011",6,4,-2
"25015",14,10,-4
"25017",218,119,-99
"44007",111,44,-67
"44001",3,5,2
"44003",25,18,-7
"33011",63,42,-21
"33017",24,15,-9
"33013",25,10,-15
"33009",13,7,-6
"33001",8,2,-6
"33003",0,1,1
"33019",3,3,0
"33005",10,8,-2
"33007",3,5,2
"23017",11,3,-8
"23001",15,18,3
"23007",0,5,5
"23011",16,22,6
"23027",0,4,4
"23019",17,32,15
"50027",0,10,10
"50017",0,1,1
"50005",0,3,3
"50023",0,12,12
"50025",4,7,3
"50003",0,5,5
"50021",0,9,9
"50007",19,24,5
"50013",0,1,1
"50011",3,3,0
"50015",0,1,1
"50001",4,3,-1
"50019",3,5,2
"50009",0,1,1
"09003",174,76,-98
"09005",16,8,-8
"09013",8,5,-3
"09015",10,8,-2
"34017",132,22,-110
"34013",98,32,-66
"34027",74,21,-53
"34031",73,11,-62
"34003",134,22,-112
"34039",79,38,-41
"34035",41,19,-22
"34037",14,1,-13
"34041",7,4,-3
"34019",7,7,0
"34007",84,13,-71
"34015",34,8,-26
"34021",48,27,-21
"36105",10,1,-9
"36001",55,45,-10
"36093",16,22,6
"36057",3,4,1
"36039",0,2,2
"36083",14,17,3
"36095",0,2,2
"36115",4,5,1
"36077",4,4,0
"36025",0,5,5
"36089",17,14,-3
"36053",6,5,-1
"36017",4,6,2
"36043",0,5,5
"36007",35,32,-3
"36107",4,6,2
"36037",6,3,-3
"36121",3,2,-1
"36009",11,12,1
"36003",0,6,6
"36051",8,4,-4
"36015",19,14,-5
"42007",23,26,3
"42003",209,102,-107
"42125",32,21,-11
"42051",22,10,-12
"42129",58,52,-6
"42019",30,13,-17
"42059",3,1,-2
"42111",7,7,0
"42009",6,3,-3
"42057",0,1,1
"42005",8,5,-3
"42063",11,2,-9
"42065",6,4,-2
"42021",17,18,1
"42033",15,4,-11
"42047",3,2,-1
"42053",0,1,1
"42031",3,4,1
"42023",0,1,1
"42083",4,7,3
"42013",24,15,-9
"42073",18,9,-9
"42121",3,5,2
"42085",20,7,-13
"42039",17,8,-9
"42123",4,5,1
"42061",9,1,-8
"42027",17,10,-7
"42105",3,1,-2
"42035",10,2,-8
"42117",6,3,-3
"42015",7,9,2
"42081",13,12,-1
"42087",7,3,-4
"42075",18,12,-6
"42043",42,28,-14
"42099",0,1,1
"42041",31,28,-3
"42133",55,43,-12
"42067",0,6,6
"42097",6,7,1
"42001",10,3,-7
"42071",80,41,-39
"42011",51,25,-26
"42109",0,2,2
"42029",70,30,-40
"42113",0,0,-1791
"42037",11,4,-7
"42093",0,4,4
"42119",0,6,6
"42079",50,44,-6
"42107",14,7,-7
"42077",58,34,-24
"42025",0,1,1
"42095",20,18,-2
