"ZCTA","third_spaces_total","population","thirdspaces_pop"
"01515",6,2157,278.164116828929
"01516",13,9168,141.797556719023
"01518",15,3606,415.973377703827
"01519",12,7566,158.604282315623
"01520",44,16059,273.989663117255
"01521",0,2492,0
"01522",3,3069,97.7517106549365
"01523",9,7809,115.251632731464
"01524",10,6778,147.536146355857
"01525",0,309,0
"01527",58,13822,419.620894226595
"01529",0,3249,0
"01531",0,1155,0
"01532",98,15047,651.292616468399
"01534",6,5885,101.954120645709
"01535",7,4774,146.627565982405
"01536",17,7030,241.820768136558
"01537",6,2244,267.379679144385
"01540",42,11679,359.619830464937
"01541",10,3466,288.517022504328
"01542",3,2544,117.924528301887
"01543",14,8799,159.108989657916
"01545",131,37683,347.636865430035
"01550",60,16865,355.766380077083
"01560",3,4467,67.1591672263264
"01561",0,102,0
"01562",23,11942,192.597554848434
"01564",17,8130,209.10209102091
"01566",37,5953,621.535360322526
"01568",18,7968,225.903614457831
"01569",47,13901,338.105172289763
"01570",82,16934,484.232904216369
"01571",24,11699,205.145738952047
"01581",147,19035,772.261623325453
"01583",43,7752,554.695562435501
"01585",8,4601,173.875244512063
"01588",52,10439,498.13200498132
"01590",28,9458,296.045675618524
"01602",75,24363,307.8438615934
"01603",91,18612,488.931871910595
"01604",179,37633,475.646374192863
"01605",98,27587,355.239786856128
"01606",83,20060,413.758723828515
"01607",27,8410,321.046373365042
"01608",69,4910,1405.29531568228
"01609",105,21780,482.093663911846
"01610",97,22152,437.8837125316
"01611",0,2036,0
"01612",4,4961,80.6289054626083
"01701",180,33742,533.459783059688
"01702",133,39163,339.606261011669
"01718",0,709,0
"01719",9,5677,158.534437202748
"01720",133,22914,580.431177446103
"01721",72,17787,404.790015179626
"01730",79,14072,561.398521887436
"01731",0,2119,0
"01740",19,5356,354.742345033607
"01741",3,5232,57.3394495412844
"01742",132,18927,697.416389285148
"01745",0,600,0
"01746",45,14792,304.218496484586
"01747",11,5956,184.687709872398
"01748",55,18030,305.047143649473
"01749",99,19863,498.414136837336
"01752",230,39663,579.885535637748
"01754",48,10900,440.366972477064
"01756",26,6146,423.039375203384
"01757",143,28936,494.194083494609
"01760",244,35770,682.135868045848
"01770",11,4324,254.394079555967
"01772",41,9551,429.274421526542
"01773",19,4847,391.995048483598
"01775",14,7159,195.558038832239
"01776",96,19248,498.753117206983
"01778",62,14038,441.658355891153
"01801",239,40297,593.096260267514
"01803",243,28077,865.47708088471
"01810",168,36098,465.399745138235
"01821",94,32936,285.401991741559
"01824",133,25762,516.264265196801
"01826",120,31389,382.299531683074
"01827",4,3374,118.5536455246
"01830",122,26225,465.204957102002
"01832",72,23736,303.336703741153
"01833",34,8733,389.327836940341
"01834",13,6815,190.755685986794
"01835",42,13822,303.863406164086
"01840",63,5416,1163.22008862629
"01841",109,49437,220.482634464065
"01843",99,25170,393.325387365912
"01844",193,50517,382.049607062969
"01845",148,31262,473.418207408355
"01850",33,15950,206.896551724138
"01851",115,31558,364.408390899297
"01852",165,35033,470.984500328262
"01854",78,28770,271.1157455683
"01860",16,6926,231.013572047358
"01862",43,10519,408.784104952942
"01863",26,9477,274.348422496571
"01864",91,15672,580.653394589076
"01867",114,25236,451.735615786971
"01876",113,30973,364.833887579505
"01879",44,12511,351.690512349133
"01880",150,26704,561.713600958658
"01886",117,24566,476.26801270048
"01887",98,23390,418.982471141513
"01890",91,22760,399.824253075571
"01901",69,2370,2911.39240506329
"01902",108,49472,218.305304010349
"01904",56,17928,312.360553324409
"01905",76,24369,311.871640198613
"01906",191,28334,674.101785840333
"01907",75,15468,484.871993793638
"01908",4,3512,113.895216400911
"01913",69,17474,394.872381824425
"01915",265,42062,630.022347962532
"01921",15,8316,180.37518037518
"01922",3,3758,79.8296966471527
"01923",202,27367,738.115248291738
"01929",22,3771,583.399628745691
"01930",207,30291,683.371298405467
"01937",0,182,0
"01938",72,14022,513.478818998716
"01940",63,13429,469.133963809666
"01944",32,5400,592.592592592593
"01945",130,20530,633.21967851924
"01949",65,9952,653.135048231511
"01950",167,18197,917.733692366874
"01951",18,3348,537.634408602151
"01952",78,9477,823.045267489712
"01960",278,52880,525.71860816944
"01965",,,
"01966",37,7269,509.010868069886
"01969",35,6375,549.019607843137
"01970",286,43120,663.265306122449
"01982",24,8048,298.210735586481
"01983",29,6613,438.530167851202
"01984",4,5208,76.8049155145929
"01985",6,4688,127.986348122867
"02019",92,17196,535.008141428239
"02021",141,23615,597.078128308279
"02025",69,8520,809.859154929577
"02026",153,25316,604.360878495813
"02030",9,6079,148.050666227998
"02032",19,4360,435.779816513761
"02035",108,17917,602.779483172406
"02038",148,33644,439.90013078112
"02043",150,23983,625.443022140683
"02045",44,10478,419.927467073869
"02047",0,156,0
"02048",106,24145,439.014288672603
"02050",119,26109,455.781531272741
"02052",54,12926,417.762648924648
"02053",52,13398,388.11762949694
"02054",44,8288,530.888030888031
"02056",25,11861,210.774808194925
"02061",67,11120,602.517985611511
"02062",192,29446,652.041024247776
"02066",82,18511,442.979849819027
"02067",48,18653,257.331260387069
"02071",0,1230,0
"02072",155,28742,539.28049544221
"02081",100,19850,503.778337531486
"02090",73,16229,449.812064822232
"02093",47,11930,393.964794635373
"02108",265,4520,5862.83185840708
"02109",182,3639,5001.37400384721
"02110",190,2340,8119.65811965812
"02111",270,7949,3396.65366712794
"02113",103,7339,1403.46096198392
"02114",175,13260,1319.75867269985
"02115",197,29134,676.185899636164
"02116",436,23007,1895.07541183118
"02118",202,28892,699.15547556417
"02119",108,27426,393.786917523518
"02120",48,15210,315.581854043392
"02121",70,29570,236.726411903957
"02122",129,24874,518.613813620648
"02124",173,57128,302.828735471223
"02125",128,34725,368.610511159107
"02126",72,29807,241.553997383165
"02127",180,36941,487.263474188571
"02128",215,47804,449.753158731487
"02129",97,20504,473.078423722201
"02130",202,42021,480.712024939911
"02131",146,34048,428.806390977444
"02132",130,28263,459.965325690833
"02133",,,
"02134",164,19552,838.788870703764
"02135",186,45496,408.827149639529
"02136",79,36417,216.931652799517
"02138",296,39139,756.27890339559
"02139",256,39702,644.803788222256
"02140",107,20954,510.642359454042
"02141",74,14437,512.571863960657
"02142",46,4074,1129.11143838979
"02143",165,25102,657.318141980719
"02144",124,25009,495.821504258467
"02145",125,28372,440.575215000705
"02148",250,60710,411.793773678142
"02149",176,46275,380.334954078876
"02150",157,39862,393.858812904521
"02151",184,53416,344.466077579751
"02152",63,18558,339.476236663434
"02155",266,60533,439.42973254258
"02163",0,2343,0
"02169",312,56999,547.378024175863
"02170",80,19163,417.471168397433
"02171",92,18227,504.745706918308
"02176",129,28054,459.827475582805
"02180",119,23625,503.703703703704
"02184",245,37196,658.672975588773
"02186",79,27590,286.335628851033
"02188",59,16114,366.141243639072
"02189",61,15337,397.730977374976
"02190",67,17466,383.602427573572
"02191",31,8296,373.67405978785
"02199",37,1435,2578.39721254355
"02203",0,24,0
"02205",,,
"02210",121,4538,2666.37285147642
"02215",183,26243,697.328811492589
"02301",286,63920,447.434292866083
"02302",60,31820,188.560653676933
"02322",16,4513,354.531353866608
"02324",91,27441,331.620567763565
"02325",,,
"02330",34,11745,289.484887186037
"02332",47,15912,295.374560080442
"02333",46,14509,317.044593011234
"02338",10,7830,127.713920817369
"02339",122,14526,839.87333057965
"02341",33,10874,303.476181717859
"02343",53,11051,479.594606822912
"02346",92,25139,365.965233302836
"02347",39,11531,338.218714768884
"02350",,,
"02351",81,16557,489.219061424171
"02356",67,12474,537.117203783871
"02357",0,1050,0
"02359",89,18455,482.254131671634
"02360",305,60797,501.669490270902
"02364",85,13746,618.361705223338
"02366",0,194,0
"02367",3,2979,100.704934541793
"02368",116,34214,339.042497223359
"02370",66,18010,366.463076068851
"02375",60,11336,529.287226534933
"02379",45,7254,620.347394540943
"02382",50,15139,330.272805337209
"02420",107,14726,726.606002987913
"02421",68,18578,366.024329852514
"02445",128,20520,623.781676413255
"02446",177,29711,595.738951903336
"02451",285,17470,1631.36805953062
"02452",74,15636,473.266820158608
"02453",163,29289,556.522926696029
"02457",0,1812,0
"02458",82,12050,680.497925311203
"02459",134,18631,719.231388545972
"02460",44,9885,445.118866970157
"02461",51,6923,736.674851942799
"02462",6,1222,490.998363338789
"02464",39,3706,1052.3475445224
"02465",41,11967,342.60884097936
"02466",33,9292,355.144210073181
"02467",85,22982,369.854668871291
"02468",10,5522,181.093806591815
"02472",208,35951,578.565269394454
"02474",116,27853,416.472193300542
"02476",80,17526,456.464681045304
"02478",131,26123,501.473797037094
"02481",73,16121,452.825507102537
"02482",79,10814,730.534492324764
"02492",112,20679,541.612263649113
"02493",32,12103,264.39725687846
"02494",60,10498,571.537435702038
"02532",60,13443,446.328944432046
"02534",8,1082,739.371534195933
"02535",11,2005,548.628428927681
"02536",85,19629,433.032757654491
"02537",8,6824,117.233294255569
