"ZCTA","policeviolence_harmonicmean_pop","policeviolence_harmonicmean_black"
"01945",7.62265363472621e-07,0
"01949",7.62265363472621e-07,0
"01950",7.62265363472621e-07,0
"01951",7.62265363472621e-07,0
"01952",7.62265363472621e-07,0
"01960",7.62265363472621e-07,0
"01965",1.24224603704591e-06,0
"01966",7.62265363472621e-07,0
"01969",7.62265363472621e-07,0
"01970",7.62265363472621e-07,0
"01982",7.62265363472621e-07,0
"01983",7.62265363472621e-07,0
"01984",7.62265363472621e-07,0
"01985",7.62265363472621e-07,0
"02019",1.29491649790529e-06,8.11514202581176e-06
"02021",1.29491649790529e-06,8.11514202581176e-06
"02025",4.45100439796822e-06,8.11514202581176e-06
"02026",1.29491649790529e-06,8.11514202581176e-06
"02030",1.29491649790529e-06,8.11514202581176e-06
"02032",1.29491649790529e-06,8.11514202581176e-06
"02035",1.29491649790529e-06,8.11514202581176e-06
"02038",1.29491649790529e-06,8.11514202581176e-06
"02043",7.75696003217309e-07,0
"02045",7.75696003217309e-07,0
"02047",7.75696003217309e-07,0
"02048",1.06664889245439e-06,8.7252394299091e-06
"02050",7.75696003217309e-07,0
"02052",1.29491649790529e-06,8.11514202581176e-06
"02053",1.29491649790529e-06,8.11514202581176e-06
"02054",1.29491649790529e-06,8.11514202581176e-06
"02056",1.29491649790529e-06,8.11514202581176e-06
"02061",7.75696003217309e-07,0
"02062",1.29491649790529e-06,8.11514202581176e-06
"02066",7.75696003217309e-07,0
"02067",1.29491649790529e-06,8.11514202581176e-06
"02071",1.29491649790529e-06,8.11514202581176e-06
"02072",1.29491649790529e-06,8.11514202581176e-06
"02081",1.29491649790529e-06,8.11514202581176e-06
"02090",1.29491649790529e-06,8.11514202581176e-06
"02093",1.29491649790529e-06,8.11514202581176e-06
"02108",2.31040572988375e-06,4.60692240133467e-06
"02109",2.31040572988375e-06,4.60692240133467e-06
"02110",2.31040572988375e-06,4.60692240133467e-06
"02111",2.31040572988375e-06,4.60692240133467e-06
"02113",2.31040572988375e-06,4.60692240133467e-06
"02114",2.31040572988375e-06,4.60692240133467e-06
"02115",2.31040572988375e-06,4.60692240133467e-06
"02116",2.31040572988375e-06,4.60692240133467e-06
"02118",4.68985182507214e-06,4.60692240133467e-06
"02119",4.69191473615543e-06,4.60692240133467e-06
"02120",2.31040572988375e-06,4.60692240133467e-06
"02121",2.31040572988375e-06,4.60692240133467e-06
"02122",2.31040572988375e-06,4.60692240133467e-06
"02124",4.68418404776295e-06,8.5973314043e-06
"02125",4.21843738968897e-06,1.01862906965043e-05
"02126",2.31040572988375e-06,4.60692240133467e-06
"02127",2.31040572988375e-06,4.60692240133467e-06
"02128",2.31040572988375e-06,4.60692240133467e-06
"02129",2.31040572988375e-06,4.60692240133467e-06
"02130",3.83176112009376e-06,1.3363416598016e-05
"02131",2.31040572988375e-06,4.60692240133467e-06
"02132",2.31040572988375e-06,4.60692240133467e-06
"02133",5.06223491876796e-06,1.21796733052687e-05
"02134",2.31040572988375e-06,4.60692240133467e-06
"02135",2.31040572988375e-06,4.60692240133467e-06
"02136",2.31040572988375e-06,4.60692240133467e-06
"02138",4.11621882193187e-07,0
"02139",4.11621882193187e-07,0
"02140",4.11621882193187e-07,0
"02141",4.11621882193187e-07,0
"02142",4.11621882193187e-07,0
"02143",4.11621882193187e-07,0
"02144",4.11621882193187e-07,0
"02145",4.11621882193187e-07,0
"02148",4.11621882193187e-07,0
"02149",1.03941419933745e-06,3.1076782179649e-06
"02150",3.88462126587131e-06,4.60692240133467e-06
"02151",3.17477851474103e-06,4.60692240133467e-06
"02152",5.61666477987618e-06,4.60692240133467e-06
"02155",4.11621882193187e-07,0
"02163",2.31040572988375e-06,4.60692240133467e-06
"02169",2.44862693876749e-06,8.11514202581176e-06
"02170",1.29491649790529e-06,8.11514202581176e-06
"02171",1.29491649790529e-06,8.11514202581176e-06
"02176",4.11621882193187e-07,0
"02180",4.11621882193187e-07,0
"02184",3.79731429686413e-06,3.02298757515595e-05
"02186",1.29491649790529e-06,8.11514202581176e-06
"02188",1.29491649790529e-06,8.11514202581176e-06
"02189",1.29491649790529e-06,8.11514202581176e-06
"02190",1.29491649790529e-06,8.11514202581176e-06
"02191",1.29491649790529e-06,8.11514202581176e-06
"02199",2.31040572988375e-06,4.60692240133467e-06
"02203",2.31040572988375e-06,4.60692240133467e-06
"02205",5.06223491876796e-06,1.21796733052687e-05
"02210",2.31040572988375e-06,4.60692240133467e-06
"02215",1.82999124659764e-06,5.38255879066031e-06
"02301",1.77805845646611e-06,0
"02302",2.23826834046011e-06,0
"02322",1.29491649790529e-06,8.11514202581176e-06
"02324",7.75696003217309e-07,0
"02325",0,0
"02330",7.75696003217309e-07,0
"02332",7.75696003217309e-07,0
"02333",7.75696003217309e-07,0
"02338",7.75696003217309e-07,0
"02339",7.75696003217309e-07,0
"02341",7.75696003217309e-07,0
"02343",1.29491649790529e-06,8.11514202581176e-06
"02346",7.75696003217309e-07,0
"02347",7.75696003217309e-07,0
"02350",0,0
"02351",7.75696003217309e-07,0
"02356",1.06664889245439e-06,8.7252394299091e-06
"02357",1.06664889245439e-06,8.7252394299091e-06
"02359",7.75696003217309e-07,0
"02360",7.75696003217309e-07,0
"02364",7.75696003217309e-07,0
"02366",7.75696003217309e-07,0
"02367",7.75696003217309e-07,0
"02368",1.29491649790529e-06,8.11514202581176e-06
"02370",7.75696003217309e-07,0
"02375",1.06664889245439e-06,8.7252394299091e-06
