"ZCTA","Post.Office.Name","State","mortality_allcausemortalityrate_pop"
"99791","Atqasuk","AK",0.0129075769042969
"99801","Juneau","AK",0.00595869140625
"99820","Angoon","AK",0.00537098266601563
"99824","Douglas","AK",0.00559094421386719
"99825","Elfin Cove","AK",0.00631265808105469
"99826","Gustavus","AK",0.00633830383300781
"99827","Haines","AK",0.00385047332763672
"99829","Hoonah","AK",0.00620449890136719
"99830","Kake","AK",0.00442895538330078
"99832","Pelican","AK",0.00633830383300781
"99833","Petersburg","AK",0.00492103302001953
"99835","Sitka","AK",0.00584709350585937
"99836","Port Alexander","AK",0.00442895538330078
"99840","Skagway","AK",0
"99841","Tenakee Springs","AK",0.00537098266601563
"99901","Ketchikan","AK",0.00646170715332031
"99609","Kasigluk","AK",0.0116718127441406
"99610","Kasilof","AK",0.00717022033691406
"99611","Kenai","AK",0.00660553100585938
"99612","King Cove","AK",0
"99613","King Salmon","AK",0.00122343856811523
"99614","Kipnuk","AK",0.0115959228515625
"99615","Karluk","AK",0.00526654907226562
"99620","Kotlik","AK",0.00888416625976562
"99621","Kwethluk","AK",0.0114013793945312
"99622","Kwigillingok","AK",0.0115959228515625
"99624","Larsen Bay","AK",0.00546941650390625
"99625","Levelock","AK",0.00884953857421875
"99626","Lower Kalskag","AK",0.0105177746582031
"99627","Mc Grath","AK",0.00755025817871094
"99628","Manokotak","AK",0.00924495422363281
"99630","Mekoryuk","AK",0.0114599389648437
"99631","Moose Pass","AK",0.00647877502441406
"99632","Mountain Village","AK",0.008345498046875
"99633","Naknek","AK",0
"99634","Napakiak","AK",0.0113293579101563
"99636","New Stuyahok","AK",0.0109039074707031
"99637","Toksook Bay","AK",0.0114599389648437
"99638","Nikolski","AK",0.00944426452636719
"99639","Ninilchik","AK",0.0067043505859375
"99640","Nondalton","AK",0.00884953857421875
"99641","Nunapitchuk","AK",0.0116718127441406
"99643","Old Harbor","AK",0.00546941650390625
"99644","Ouzinkie","AK",0.00549661682128906
"99645","Palmer","AK",0.00675598876953125
"99647","Pedro Bay","AK",0.00884953857421875
"99648","Perryville","AK",0.0091232861328125
"99649","Pilot Point","AK",0.0091232861328125
"99650","Pilot Station","AK",0.008345498046875
"99651","Platinum","AK",0.0111528405761719
"99652","Big Lake","AK",0.00670224609375
"99653","Port Alsworth","AK",0.00884953857421875
"99654","Wasilla","AK",0.00670318237304687
"99655","Quinhagak","AK",0.0111528405761719
"99656","Red Devil","AK",0.0102934655761719
"99657","Russian Mission","AK",0.00636140014648437
"99658","Saint Marys","AK",0.008345498046875
"99659","Saint Michael","AK",0.0138750317382812
"99660","Saint Paul Island","AK",0.00944426452636719
"99661","Sand Point","AK",0
"99662","Scammon Bay","AK",0.0083665966796875
"99663","Seldovia","AK",0.0070286865234375
"99664","Seward","AK",0.00707322387695312
"99665","Shageluk","AK",0.0110234375
"99666","Nunam Iqua","AK",0.00888416625976562
"99667","Skwentna","AK",0.00694580261230469
"99668","Sleetmute","AK",0.0102934655761719
"99669","Soldotna","AK",0.00675963500976562
"99670","South Naknek","AK",0
"99671","Stebbins","AK",0.0138750317382812
"99672","Sterling","AK",0.00663926452636719
"99674","Sutton","AK",0.00652157836914063
"99676","Talkeetna","AK",0.00663195861816406
"99677","Tatitlek","AK",0.00779712463378906
"99678","Togiak","AK",0.0104252490234375
"99679","Tuluksak","AK",0.0114013793945312
"99680","Tuntutuliak","AK",0.0115959228515625
"99681","Tununak","AK",0.0114599389648437
"99682","Tyonek","AK",0.00653586547851562
"99683","Trapper Creek","AK",0.00694580261230469
"99684","Unalakleet","AK",0.0127621911621094
"99685","Unalaska","AK",0.00797516174316406
"99686","Valdez","AK",0.00609632995605469
"99688","Willow","AK",0.00683635498046875
"99689","Yakutat","AK",0.00256793701171875
"99690","Nightmute","AK",0.0114599389648437
"99691","Nikolai","AK",0.00755025817871094
"99692","Dutch Harbor","AK",0.009667080078125
"99693","Whittier","AK",0.00779712463378906
"99694","Houston","AK",0.00681116943359375
"99695","Anchorage","AK",0.0091232861328125
"99701","Fairbanks","AK",0.00628580932617187
"99702","Eielson AFB","AK",0.00621465148925781
"99703","Fort Wainwright","AK",0.00607035034179688
"99704","Clear","AK",0.00607802551269531
"99705","North Pole","AK",0.00636925659179687
"99706","Fairbanks","AK",0.00769881103515625
"99709","Fairbanks","AK",0.00639841796875
"99712","Fairbanks","AK",0.00632288940429688
"85019","Phoenix","AZ",0.00603763244628906
"85020","Phoenix","AZ",0.00614397888183594
"85021","Phoenix","AZ",0.00611901916503906
"85022","Phoenix","AZ",0.00619641967773437
"85023","Phoenix","AZ",0.00620225708007812
"85024","Phoenix","AZ",0.00624226684570313
"85027","Phoenix","AZ",0.0061462109375
"85028","Phoenix","AZ",0.00622743896484375
"85029","Phoenix","AZ",0.00617177307128906
"85031","Phoenix","AZ",0.00588336364746094
"85032","Phoenix","AZ",0.0061312890625
"85033","Phoenix","AZ",0.00584144592285156
"85034","Phoenix","AZ",0.00596572998046875
"85035","Phoenix","AZ",0.00575639282226563
"85037","Phoenix","AZ",0.00600142700195313
"85040","Phoenix","AZ",0.00621412475585937
"85041","Phoenix","AZ",0.00606312072753906
"85042","Phoenix","AZ",0.00608785217285156
"85043","Phoenix","AZ",0.00581940246582031
"85044","Phoenix","AZ",0.00613530822753906
"85045","Phoenix","AZ",0.00627713073730469
"85048","Phoenix","AZ",0.00622595031738281
"85297","Gilbert","AZ",0.00614857971191406
"85298","Gilbert","AZ",0.00626994262695313
"85301","Glendale","AZ",0.00600412231445312
"85302","Glendale","AZ",0.00610703674316406
"85050","Phoenix","AZ",0.00621206298828125
"85051","Phoenix","AZ",0.00606426025390625
"85053","Phoenix","AZ",0.00615393798828125
"85054","Phoenix","AZ",0.00624446594238281
"85083","Phoenix","AZ",0.00619794067382813
"85085","Phoenix","AZ",0.00615095336914062
"85086","Phoenix","AZ",0.00636081481933594
"85087","New River","AZ",0.00634739990234375
"85118","Gold Canyon","AZ",0.00581361694335937
"85119","Apache Junction","AZ",0.00581689758300781
"85120","Apache Junction","AZ",0.00578064086914063
"85121","Bapchule","AZ",0.00750611206054688
"85122","Casa Grande","AZ",0.00572650695800781
"85123","Arizona City","AZ",0.00576901245117187
"85128","Coolidge","AZ",0.00587457092285156
"85131","Eloy","AZ",0.00577914123535156
"85132","Florence","AZ",0.00584914611816406
"85135","Hayden","AZ",0.00840411315917969
"85137","Kearny","AZ",0.00542362426757812
"85138","Maricopa","AZ",0.00584118774414063
"85303","Glendale","AZ",0.00597865295410156
"85304","Glendale","AZ",0.00610034057617188
"85305","Glendale","AZ",0.00610013061523438
"85306","Glendale","AZ",0.00623766784667969
"85307","Glendale","AZ",0.0059360791015625
"85139","Maricopa","AZ",0.00583332458496094
"85140","San Tan Valley","AZ",0.00581430908203125
"85141","Picacho","AZ",0.00561228088378906
"85142","Chandler Heights","AZ",0.00609506103515625
"85143","San Tan Valley","AZ",0.00573521362304687
"85145","Red Rock","AZ",0.00559877380371094
"85147","Sacaton","AZ",0.00713929809570312
"85172","Stanfield","AZ",0.00575811157226563
"85173","Superior","AZ",0.00561235595703125
"85192","Winkelman","AZ",0.00643536560058594
"85193","Casa Grande","AZ",0.00584640502929687
"85194","Casa Grande","AZ",0.0058018310546875
"85201","Mesa","AZ",0.0060417578125
"85202","Mesa","AZ",0.00614518920898437
"85203","Mesa","AZ",0.00617360046386719
"85204","Mesa","AZ",0.00596823669433594
"85205","Mesa","AZ",0.00631711975097656
"85206","Mesa","AZ",0.00637642456054687
"85207","Mesa","AZ",0.00630448120117187
"85208","Mesa","AZ",0.00629406982421875
"85209","Mesa","AZ",0.00626804992675781
"85210","Mesa","AZ",0.0059854541015625
"85212","Mesa","AZ",0.00616256408691406
"85213","Mesa","AZ",0.00634268615722656
"85215","Mesa","AZ",0.00637994689941406
"85224","Chandler","AZ",0.00603167663574219
"85225","Chandler","AZ",0.00610345581054688
"85226","Chandler","AZ",0.00618422241210937
"85233","Gilbert","AZ",0.006098876953125
"85234","Gilbert","AZ",0.00622630981445312
"85248","Chandler","AZ",0.00627785949707031
"85249","Chandler","AZ",0.00620684875488281
"85250","Scottsdale","AZ",0.00633598388671875
"85251","Scottsdale","AZ",0.00624682739257813
"85253","Paradise Valley","AZ",0.00632986633300781
"85308","Glendale","AZ",0.00620097778320312
"85309","Luke Air Force Base","AZ",0.0064041552734375
"85310","Glendale","AZ",0.00632311096191406
"85320","Aguila","AZ",0.00614203247070313
"85321","Ajo","AZ",0.00664957214355469
"85322","Arlington","AZ",0.00610771606445313
"85254","Scottsdale","AZ",0.00625077941894531
"85255","Scottsdale","AZ",0.00633091125488281
"85256","Scottsdale","AZ",0.00544160400390625
"85257","Scottsdale","AZ",0.00619765625
"85258","Scottsdale","AZ",0.00638591247558594
"85259","Scottsdale","AZ",0.00623149291992187
"85260","Scottsdale","AZ",0.00635231262207031
"85262","Scottsdale","AZ",0.00642166687011719
"85263","Rio Verde","AZ",0.00653087463378906
"85264","Fort McDowell","AZ",0.00547243408203125
"85323","Avondale","AZ",0.00606356018066406
"85324","Black Canyon City","AZ",0.00724430236816406
"85325","Bouse","AZ",0.007913447265625
"85266","Scottsdale","AZ",0.00633291076660156
"85268","Fountain Hills","AZ",0.00645089782714844
"85281","Tempe","AZ",0.00606752990722656
"85282","Tempe","AZ",0.00620542297363281
"85283","Tempe","AZ",0.00608008850097656
"85284","Tempe","AZ",0.00622480041503906
"85286","Chandler","AZ",0.00608879211425781
"85295","Gilbert","AZ",0.00612643737792969
"85296","Higley","AZ",0.00623804626464844
"85326","Buckeye","AZ",0.00616697265625
"85328","Cibola","AZ",0.00718939575195313
"85331","Cave Creek","AZ",0.00629505859375
"85332","Congress","AZ",0.00724266967773437
"85333","Dateland","AZ",0.005608564453125
"85334","Ehrenberg","AZ",0.00692156677246094
"86504","Fort Defiance","AZ",0.00979973815917969
"86515","Window Rock","AZ",0.0101871398925781
"85360","Wikieup","AZ",0.00807684265136719
"85361","Wittmann","AZ",0.00638799987792969
"85362","Yarnell","AZ",0.00705181823730469
"85363","Youngtown","AZ",0.00608786743164063
